id,label,importance,triviality,loc,complexity,num_funcs,num_params,num_calls,num_returns,num_assigns,num_imports,doc_len,keyword_matches,one_liner,has_type_annotations,model_prob_core,combined_score
code:fastapi/routing.py:matches:496,matches,0.4986,0.5014,4,2.0,1,2,2,0,2,0,0,0,0,1,0.825,0.69444
code:fastapi/routing.py:matches:663,matches,0.4986,0.5014,4,2.0,1,2,2,0,2,0,0,0,0,1,0.825,0.69444
code:fastapi/applications.py:decorator:1322,decorator,0.4897,0.5103,7,1.0,1,1,1,0,0,0,0,0,0,1,0.83,0.6938799999999999
code:fastapi/middleware/asyncexitstack.py:__init__:8,__init__,0.4965,0.5035,5,1.0,1,3,0,0,1,0,0,1,0,1,0.805,0.6816
code:fastapi/exceptions.py:ValidationException:148,ValidationException,0.3304,0.6696,4,0.0,0,0,0,0,0,0,0,0,0,1,0.915,0.6811600000000001
code:fastapi/responses.py:render:43,render,0.3304,0.6696,4,0.0,0,0,0,0,0,0,0,0,0,1,0.915,0.6811600000000001
code:fastapi/routing.py:app:102,app,0.4815,0.5185,17,0.0,0,0,0,0,0,0,0,0,0,1,0.81,0.6786
code:fastapi/security/http.py:HTTPBasicCredentials:15,HTTPBasicCredentials,0.3354,0.6646,8,1.0,0,0,1,0,0,0,0,1,0,1,0.905,0.67716
code:fastapi/routing.py:websocket_session:129,websocket_session,0.4949,0.5051,18,1.0,1,1,5,0,2,0,67,0,0,1,0.78,0.66596
code:fastapi/routing.py:decorator:1180,decorator,0.4895,0.5105,4,1.0,1,1,1,0,0,0,0,0,0,1,0.78,0.6638
code:fastapi/utils.py:generate_unique_id:179,generate_unique_id,0.3393,0.6607,5,1.0,1,1,3,0,3,0,0,1,0,1,0.865,0.65472
code:fastapi/params.py:ParamTypes:17,ParamTypes,0.3355,0.6645,4,1.0,0,0,0,0,3,0,0,0,0,1,0.865,0.6532
code:fastapi/routing.py:app:99,app,0.4929,0.5071,21,2.0,0,0,5,0,5,0,0,0,0,1,0.76,0.65316
code:fastapi/encoders.py:generate_encoders_by_class_tuples:87,generate_encoders_by_class_tuples,0.3451,0.6549,8,2.0,1,1,2,0,1,0,0,0,0,1,0.855,0.6510400000000001
code:fastapi/routing.py:request_response:88,request_response,0.5078,0.4922,33,3.0,1,1,9,0,5,0,91,1,0,1,0.735,0.64412
code:fastapi/middleware/asyncexitstack.py:AsyncExitStackMiddleware:7,AsyncExitStackMiddleware,0.3471,0.6529,10,1.0,1,3,1,0,3,0,0,1,0,1,0.8,0.6188400000000001
code:fastapi/utils.py:deep_dict_update:187,deep_dict_update,0.3313,0.6687,15,0.0,0,0,0,0,0,0,0,0,0,1,0.38,0.36051999999999995
code:fastapi/routing.py:APIRouter:670,APIRouter,0.889,0.111,3374,39.0,22,1,311,17,32,0,527,277,0,1,0.0,0.3556
code:fastapi/utils.py:get_value_or_default:205,get_value_or_default,0.3605,0.6395,13,3.0,1,1,1,1,1,0,197,1,0,1,0.325,0.3392
code:fastapi/applications.py:FastAPI:50,FastAPI,0.827,0.173,3972,23.0,26,1,332,24,39,0,468,331,0,1,0.0,0.3308
code:fastapi/exceptions.py:__init__:167,__init__,0.4934,0.5066,3,1.0,1,2,2,0,0,0,0,0,1,1,0.16,0.29336
code:fastapi/exceptions.py:__init__:157,__init__,0.4934,0.5066,3,1.0,1,2,2,0,0,0,0,0,1,1,0.16,0.29336
code:fastapi/openapi/models.py:APIKey:354,APIKey,0.4857,0.5143,3,1.0,0,0,2,0,0,0,0,0,1,1,0.12,0.26628
code:fastapi/routing.py:get_request_handler:292,get_request_handler,0.6462,0.3538,136,23.0,1,13,29,1,29,0,0,30,0,1,0.0,0.25848
code:fastapi/openapi/models.py:__get_validators__:24,__get_validators__,0.3797,0.6203,3,0.0,0,0,0,0,0,0,0,1,1,1,0.175,0.25688
code:fastapi/routing.py:decorator:1191,decorator,0.3803,0.6197,3,0.0,0,0,0,0,0,0,0,0,1,1,0.16,0.24812000000000003
code:fastapi/applications.py:decorator:4540,decorator,0.3803,0.6197,3,0.0,0,0,0,0,0,0,0,0,1,1,0.16,0.24812000000000003
code:fastapi/openapi/models.py:Contact:67,Contact,0.3848,0.6152,3,1.0,0,0,0,0,0,0,0,1,1,1,0.145,0.24092
code:fastapi/routing.py:APIRoute:503,APIRoute,0.5882,0.4118,161,19.0,3,3,37,1,51,0,0,34,0,1,0.0,0.23528
code:fastapi/routing.py:app:315,app,0.5857,0.4143,113,21.0,0,0,25,0,26,0,0,26,0,1,0.0,0.23428000000000002
code:fastapi/exceptions.py:RequestValidationError:156,RequestValidationError,0.3434,0.6566,3,1.0,1,2,2,0,0,0,0,0,1,1,0.16,0.23336
code:fastapi/routing.py:__init__:504,__init__,0.5823,0.4177,140,18.0,1,3,32,0,48,0,0,31,0,1,0.0,0.23292000000000002
code:fastapi/openapi/models.py:APIKeyIn:348,APIKeyIn,0.3854,0.6146,3,1.0,0,0,0,0,2,0,0,0,1,1,0.13,0.23216000000000003
code:fastapi/applications.py:__call__:1129,__call__,0.3905,0.6095,3,2.0,0,0,0,0,1,0,0,0,1,1,0.12,0.22820000000000001
code:fastapi/applications.py:__init__:66,__init__,0.5638,0.4362,768,8.0,1,1,54,0,21,0,0,61,0,1,0.0,0.22552
code:fastapi/applications.py:swagger_ui_html:1092,swagger_ui_html,0.4798,0.5202,12,0.0,0,0,0,0,0,0,0,2,0,1,0.055,0.22492
code:fastapi/openapi/models.py:Example:221,Example,0.4796,0.5204,9,0.0,0,0,0,0,0,0,0,2,0,1,0.055,0.22484
code:fastapi/applications.py:redoc_html:1120,redoc_html,0.4792,0.5208,5,0.0,0,0,0,0,0,0,0,2,0,1,0.055,0.22468000000000002
code:fastapi/routing.py:run_endpoint_function:279,run_endpoint_function,0.4784,0.5216,9,0.0,0,0,0,0,0,0,0,4,0,1,0.055,0.22436
code:fastapi/security/oauth2.py:__init__:625,__init__,0.48,0.52,27,0.0,0,0,0,0,0,0,0,4,0,1,0.05,0.222
code:fastapi/applications.py:exception_handler:4621,exception_handler,0.5289,0.4711,34,1.0,2,2,2,1,0,0,643,3,0,1,0.015,0.22056000000000003
code:fastapi/openapi/models.py:EmailStr:23,EmailStr,0.4757,0.5243,27,0.0,0,0,0,0,0,0,0,11,0,1,0.05,0.22028
code:fastapi/routing.py:get_websocket_app:436,get_websocket_app,0.5035,0.4965,23,2.0,1,3,6,0,2,0,0,2,0,1,0.03,0.21939999999999998
code:fastapi/openapi/models.py:__get_pydantic_json_schema__:44,__get_pydantic_json_schema__,0.4791,0.5209,4,0.0,0,0,0,0,0,0,0,2,0,1,0.045,0.21864000000000003
code:fastapi/applications.py:middleware:4575,middleware,0.5289,0.4711,35,1.0,2,2,2,1,0,0,630,2,0,1,0.01,0.21756000000000003
code:fastapi/openapi/models.py:Parameter:273,Parameter,0.3847,0.6153,2,1.0,0,0,0,0,0,0,0,1,1,1,0.105,0.21688000000000002
code:fastapi/openapi/models.py:OAuthFlow:370,OAuthFlow,0.3847,0.6153,2,1.0,0,0,0,0,0,0,0,1,1,1,0.105,0.21688000000000002
code:fastapi/openapi/models.py:Discriminator:105,Discriminator,0.3847,0.6153,2,1.0,0,0,0,0,0,0,0,1,1,1,0.105,0.21688000000000002
code:fastapi/openapi/models.py:ExternalDocumentation:118,ExternalDocumentation,0.3847,0.6153,2,1.0,0,0,0,0,0,0,0,1,1,1,0.105,0.21688000000000002
code:fastapi/openapi/models.py:OAuthFlowAuthorizationCode:387,OAuthFlowAuthorizationCode,0.3847,0.6153,2,1.0,0,0,0,0,0,0,0,1,1,1,0.105,0.21688000000000002
code:fastapi/applications.py:setup:1076,setup,0.5405,0.4595,42,11.0,1,1,17,4,9,0,0,10,0,1,0.0,0.2162
code:fastapi/openapi/models.py:validate:28,validate,0.4923,0.5077,6,1.0,1,2,1,0,0,0,0,2,0,1,0.03,0.21492
code:fastapi/routing.py:websocket:1121,websocket,0.5293,0.4707,55,1.0,2,3,4,1,0,0,527,2,0,1,0.005,0.21472000000000002
code:fastapi/routing.py:add_api_websocket_route:1100,add_api_websocket_route,0.5065,0.4935,18,2.0,1,4,3,0,2,0,0,2,0,1,0.02,0.2146
code:fastapi/applications.py:openapi:1043,openapi,0.5207,0.4793,28,2.0,1,1,1,0,1,0,468,2,0,1,0.01,0.21428000000000003
code:fastapi/exceptions.py:__init__:36,__init__,0.4807,0.5193,28,0.0,0,0,0,0,0,0,0,3,0,1,0.035,0.21328
code:fastapi/applications.py:websocket:1268,websocket,0.5253,0.4747,55,1.0,2,3,4,1,0,0,452,2,0,1,0.005,0.21312
code:fastapi/params.py:__init__:27,__init__,0.5327,0.4673,104,9.0,1,2,8,0,11,0,0,19,0,1,0.0,0.21308
code:fastapi/applications.py:add_api_websocket_route:1253,add_api_websocket_route,0.4799,0.5201,13,0.0,0,0,0,0,0,0,0,2,0,1,0.035,0.21296
code:fastapi/params.py:__init__:479,__init__,0.532,0.468,109,9.0,1,2,8,0,13,0,0,21,0,1,0.0,0.21280000000000002
code:fastapi/routing.py:add_api_route:956,add_api_route,0.5311,0.4689,80,8.0,1,3,12,0,9,0,0,17,0,1,0.0,0.21244000000000002
code:fastapi/applications.py:openapi:1081,openapi,0.5004,0.4996,6,4.0,0,0,4,0,1,0,0,2,0,1,0.02,0.21216000000000002
code:fastapi/exceptions.py:__init__:149,__init__,0.3802,0.6198,2,0.0,0,0,0,0,0,0,0,0,1,1,0.1,0.21208
code:fastapi/applications.py:swagger_ui_redirect:1110,swagger_ui_redirect,0.3801,0.6199,1,0.0,0,0,0,0,0,0,0,0,1,1,0.1,0.21204
code:fastapi/routing.py:__init__:697,__init__,0.5299,0.4701,213,6.0,1,1,25,0,9,0,0,12,0,1,0.0,0.21196000000000004
code:fastapi/openapi/models.py:HTTPBearer:365,HTTPBearer,0.3853,0.6147,2,1.0,0,0,0,0,0,0,0,0,1,1,0.09,0.20812
code:fastapi/security/http.py:__init__:355,__init__,0.4964,0.5036,40,2.0,1,1,4,0,2,0,0,3,0,1,0.015,0.20756000000000002
code:fastapi/applications.py:websocket_route:4537,websocket_route,0.4961,0.5039,6,1.0,2,3,1,1,0,0,0,2,0,1,0.015,0.20744
code:fastapi/openapi/models.py:_validate:36,_validate,0.4961,0.5039,6,1.0,1,3,1,0,0,0,0,2,0,1,0.015,0.20744
code:fastapi/routing.py:websocket_route:1188,websocket_route,0.4961,0.5039,6,1.0,2,3,1,1,0,0,0,2,0,1,0.015,0.20744
code:fastapi/routing.py:_prepare_response_content:153,_prepare_response_content,0.5186,0.4814,45,6.0,1,1,12,5,1,0,0,3,0,1,0.0,0.20743999999999999
code:fastapi/routing.py:APIWebSocketRoute:463,APIWebSocketRoute,0.5179,0.4821,36,5.0,2,3,12,0,11,0,0,7,0,1,0.0,0.20716
code:fastapi/routing.py:get_route_handler:646,get_route_handler,0.4801,0.5199,15,0.0,0,0,0,0,0,0,0,2,0,1,0.025,0.20704
code:fastapi/security/open_id_connect_url.py:__init__:16,__init__,0.4969,0.5031,51,2.0,1,1,5,0,2,0,0,4,0,1,0.01,0.20476000000000003
code:fastapi/security/http.py:__init__:129,__init__,0.4968,0.5032,50,2.0,1,1,5,0,3,0,0,4,0,1,0.01,0.20472
code:fastapi/security/api_key.py:__init__:54,__init__,0.4967,0.5033,48,2.0,1,1,5,0,1,0,0,4,0,1,0.01,0.20468
code:fastapi/security/oauth2.py:__init__:320,__init__,0.4966,0.5034,51,2.0,1,1,7,0,2,0,0,5,0,1,0.01,0.20464000000000002
code:fastapi/security/api_key.py:__init__:234,__init__,0.4963,0.5037,44,2.0,1,1,5,0,1,0,0,4,0,1,0.01,0.20452000000000004
code:fastapi/security/api_key.py:__init__:146,__init__,0.4963,0.5037,44,2.0,1,1,5,0,1,0,0,4,0,1,0.01,0.20452000000000004
code:fastapi/security/http.py:__init__:251,__init__,0.4955,0.5045,42,2.0,1,1,5,0,2,0,0,5,0,1,0.01,0.20420000000000002
code:fastapi/routing.py:decorator:4510,decorator,0.3893,0.6107,2,1.0,1,1,1,0,0,0,0,0,1,1,0.08,0.20372
code:fastapi/applications.py:decorator:4662,decorator,0.3893,0.6107,2,1.0,1,1,1,0,0,0,0,0,1,1,0.08,0.20372
code:fastapi/applications.py:decorator:4615,decorator,0.3893,0.6107,2,1.0,1,1,1,0,0,0,0,0,1,1,0.08,0.20372
code:fastapi/applications.py:build_middleware_stack:995,build_middleware_stack,0.5072,0.4928,43,4.0,1,1,6,0,7,0,0,3,0,1,0.0,0.20288
code:fastapi/routing.py:api_route:1038,api_route,0.4908,0.5092,59,1.0,2,2,4,1,0,0,0,13,0,1,0.01,0.20232000000000003
code:fastapi/applications.py:api_route:1193,api_route,0.4906,0.5094,57,1.0,2,2,4,1,0,0,0,13,0,1,0.01,0.20224
code:fastapi/openapi/models.py:HTTPBase:360,HTTPBase,0.3855,0.6145,2,1.0,0,0,1,0,0,0,0,0,1,1,0.08,0.2022
code:fastapi/openapi/models.py:OAuth2:399,OAuth2,0.3855,0.6145,2,1.0,0,0,1,0,0,0,0,0,1,1,0.08,0.2022
code:fastapi/openapi/models.py:SecurityBase:343,SecurityBase,0.3855,0.6145,2,1.0,0,0,1,0,0,0,0,0,1,1,0.08,0.2022
code:fastapi/routing.py:route:937,route,0.5041,0.4959,16,1.0,2,5,1,1,0,0,0,3,0,1,0.0,0.20164
code:fastapi/security/oauth2.py:__init__:60,__init__,0.4881,0.5119,84,1.0,1,1,13,0,5,0,0,17,0,1,0.01,0.20124
code:fastapi/openapi/utils.py:get_openapi_path:252,get_openapi_path,0.4949,0.5051,189,33.0,1,0,57,0,39,0,0,49,0,1,0.0,0.19796000000000002
code:fastapi/routing.py:options:2959,options,0.4938,0.5062,328,0.0,0,0,0,0,0,0,0,25,0,1,0.0,0.19752000000000003
code:fastapi/routing.py:delete:2582,delete,0.4938,0.5062,328,0.0,0,0,0,0,0,0,0,25,0,1,0.0,0.19752000000000003
code:fastapi/routing.py:patch:3718,patch,0.4935,0.5065,332,0.0,0,0,0,0,0,0,0,26,0,1,0.0,0.19740000000000002
code:fastapi/routing.py:post:2200,post,0.4935,0.5065,332,0.0,0,0,0,0,0,0,0,26,0,1,0.0,0.19740000000000002
code:fastapi/applications.py:options:3040,options,0.4935,0.5065,325,0.0,0,0,0,0,0,0,0,25,0,1,0.0,0.19740000000000002
code:fastapi/applications.py:head:3413,head,0.4935,0.5065,325,0.0,0,0,0,0,0,0,0,25,0,1,0.0,0.19740000000000002
code:fastapi/applications.py:delete:2667,delete,0.4935,0.5065,325,0.0,0,0,0,0,0,0,0,25,0,1,0.0,0.19740000000000002
code:fastapi/applications.py:trace:4164,trace,0.4935,0.5065,325,0.0,0,0,0,0,0,0,0,25,0,1,0.0,0.19740000000000002
code:fastapi/security/http.py:__init__:69,__init__,0.4934,0.5066,11,2.0,1,1,1,0,2,0,0,3,0,1,0.0,0.19736
code:fastapi/applications.py:patch:3786,patch,0.4933,0.5067,329,0.0,0,0,0,0,0,0,0,26,0,1,0.0,0.19732000000000002
code:fastapi/applications.py:post:2289,post,0.4933,0.5067,329,0.0,0,0,0,0,0,0,0,26,0,1,0.0,0.19732000000000002
code:fastapi/routing.py:head:3336,head,0.4929,0.5071,332,0.0,0,0,0,0,0,0,0,27,0,1,0.0,0.19716
code:fastapi/routing.py:put:1818,put,0.4929,0.5071,332,0.0,0,0,0,0,0,0,0,27,0,1,0.0,0.19716
code:fastapi/routing.py:trace:4100,trace,0.4929,0.5071,332,0.0,0,0,0,0,0,0,0,27,0,1,0.0,0.19716
code:fastapi/applications.py:put:1911,put,0.4927,0.5073,329,0.0,0,0,0,0,0,0,0,27,0,1,0.0,0.19708000000000003
code:fastapi/routing.py:include_router:1197,include_router,0.4923,0.5077,222,0.0,0,0,0,0,0,0,0,12,0,1,0.0,0.19692
code:fastapi/routing.py:get:1441,get,0.492,0.508,328,0.0,0,0,0,0,0,0,0,28,0,1,0.0,0.1968
code:fastapi/applications.py:get:1538,get,0.4917,0.5083,325,0.0,0,0,0,0,0,0,0,28,0,1,0.0,0.19668000000000002
code:fastapi/openapi/models.py:PathItem:320,PathItem,0.484,0.516,13,1.0,0,0,1,0,0,0,0,4,0,1,0.005,0.1966
code:fastapi/openapi/models.py:XML:110,XML,0.4838,0.5162,5,1.0,0,0,0,0,0,0,0,3,0,1,0.005,0.19652000000000003
code:fastapi/openapi/models.py:Encoding:243,Encoding,0.4838,0.5162,5,1.0,0,0,0,0,0,0,0,3,0,1,0.005,0.19652000000000003
code:fastapi/applications.py:include_router:1333,include_router,0.4889,0.5111,163,0.0,0,0,0,0,0,0,0,9,0,1,0.0,0.19556
code:fastapi/openapi/models.py:Operation:304,Operation,0.4808,0.5192,13,1.0,0,0,0,0,0,0,0,9,0,1,0.005,0.19532000000000002
code:fastapi/routing.py:__init__:464,__init__,0.4785,0.5215,31,0.0,0,0,0,0,0,0,0,7,0,1,0.005,0.19440000000000002
code:fastapi/openapi/models.py:ParameterBase:258,ParameterBase,0.4845,0.5155,12,1.0,0,0,1,0,0,0,0,3,0,1,0.0,0.1938
code:fastapi/openapi/models.py:Response:297,Response,0.4837,0.5163,4,1.0,0,0,0,0,0,0,0,3,0,1,0.0,0.19348
code:fastapi/openapi/models.py:Info:79,Info,0.4833,0.5167,7,1.0,0,0,0,0,0,0,0,4,0,1,0.0,0.19332000000000002
code:fastapi/routing.py:serialize_response:218,serialize_response,0.4831,0.5169,56,0.0,0,0,0,0,0,0,0,3,0,1,0.0,0.19324
code:fastapi/security/oauth2.py:__init__:399,__init__,0.4829,0.5171,81,0.0,0,0,0,0,0,0,0,7,0,1,0.0,0.19316
code:fastapi/security/oauth2.py:__init__:508,__init__,0.4824,0.5176,82,0.0,0,0,0,0,0,0,0,8,0,1,0.0,0.19296000000000002
code:fastapi/openapi/models.py:Link:288,Link,0.482,0.518,6,1.0,0,0,0,0,0,0,0,6,0,1,0.0,0.1928
code:fastapi/openapi/models.py:OpenAPI:434,OpenAPI,0.4819,0.5181,11,1.0,0,0,0,0,0,0,0,7,0,1,0.0,0.19276000000000001
code:fastapi/openapi/models.py:Components:414,Components,0.4801,0.5199,11,1.0,0,0,0,0,0,0,0,10,0,1,0.0,0.19204000000000002
code:fastapi/security/oauth2.py:__init__:215,__init__,0.4796,0.5204,85,0.0,0,0,0,0,0,0,0,13,0,1,0.0,0.19184
code:fastapi/applications.py:add_api_route:1134,add_api_route,0.4772,0.5228,57,0.0,0,0,0,0,0,0,0,13,0,1,0.0,0.19088000000000002
code:fastapi/params.py:__init__:311,__init__,0.4756,0.5244,80,0.0,0,0,0,0,0,0,0,19,0,1,0.0,0.19024000000000002
code:fastapi/params.py:__init__:141,__init__,0.4756,0.5244,80,0.0,0,0,0,0,0,0,0,19,0,1,0.0,0.19024000000000002
code:fastapi/params.py:__init__:227,__init__,0.4754,0.5246,78,0.0,0,0,0,0,0,0,0,19,0,1,0.0,0.19016
code:fastapi/params.py:__init__:397,__init__,0.4754,0.5246,78,0.0,0,0,0,0,0,0,0,19,0,1,0.0,0.19016
code:fastapi/params.py:__init__:596,__init__,0.4751,0.5249,81,0.0,0,0,0,0,0,0,0,20,0,1,0.0,0.19004000000000001
code:fastapi/params.py:__init__:680,__init__,0.4751,0.5249,81,0.0,0,0,0,0,0,0,0,20,0,1,0.0,0.19004000000000001
code:fastapi/openapi/utils.py:get_openapi:475,get_openapi,0.4635,0.5365,95,28.0,1,0,22,0,20,0,0,36,0,1,0.0,0.1854
code:fastapi/openapi/models.py:Schema:129,Schema,0.459,0.541,84,0.0,0,0,0,0,0,0,0,47,0,1,0.0,0.1836
code:fastapi/exceptions.py:ResponseValidationError:166,ResponseValidationError,0.3479,0.6521,8,2.0,2,2,3,0,3,0,0,2,0,1,0.065,0.17816
code:fastapi/params.py:Depends:763,Depends,0.3478,0.6522,9,2.0,2,2,2,0,4,0,0,2,0,1,0.06,0.17512
code:fastapi/middleware/asyncexitstack.py:__call__:14,__call__,0.2355,0.7645,3,1.0,0,0,1,0,1,0,0,0,1,1,0.125,0.16920000000000002
code:fastapi/exception_handlers.py:http_exception_handler:10,http_exception_handler,0.3287,0.6713,6,0.0,0,0,0,0,0,0,0,3,0,1,0.055,0.16448000000000002
code:fastapi/exception_handlers.py:request_validation_exception_handler:19,request_validation_exception_handler,0.3287,0.6713,6,0.0,0,0,0,0,0,0,0,3,0,1,0.055,0.16448000000000002
code:fastapi/responses.py:ORJSONResponse:35,ORJSONResponse,0.3285,0.6715,10,0.0,0,0,0,0,0,0,0,4,0,1,0.055,0.16440000000000002
code:fastapi/responses.py:render:30,render,0.243,0.757,2,1.0,1,2,0,0,0,0,0,0,1,1,0.11,0.1632
code:fastapi/encoders.py:isoformat:30,isoformat,0.2296,0.7704,2,0.0,0,0,0,0,0,0,0,1,1,1,0.115,0.16084
code:fastapi/params.py:__repr__:591,__repr__,0.2295,0.7705,1,0.0,0,0,0,0,0,0,0,1,1,1,0.115,0.1608
code:fastapi/params.py:__repr__:134,__repr__,0.2295,0.7705,1,0.0,0,0,0,0,0,0,0,1,1,1,0.115,0.1608
code:fastapi/openapi/utils.py:_get_openapi_operation_parameters:93,_get_openapi_operation_parameters,0.3978,0.6022,71,13.0,1,0,18,0,22,0,0,13,0,1,0.0,0.15912
code:fastapi/param_functions.py:Security:2279,Security,0.3922,0.6078,66,1.0,1,1,3,0,0,0,928,5,0,1,0.0,0.15688000000000002
code:fastapi/security/oauth2.py:OAuth2AuthorizationCodeBearer:502,OAuth2AuthorizationCodeBearer,0.3907,0.6093,100,5.0,1,8,14,1,4,0,0,11,0,1,0.0,0.15628
code:fastapi/security/api_key.py:APIKeyBase:10,APIKeyBase,0.3528,0.6472,9,3.0,1,2,1,1,0,0,0,2,0,1,0.025,0.15611999999999998
code:fastapi/security/api_key.py:check_api_key:11,check_api_key,0.3528,0.6472,9,3.0,1,2,1,1,0,0,0,2,0,1,0.025,0.15611999999999998
code:fastapi/security/open_id_connect_url.py:__call__:74,__call__,0.3453,0.6547,9,3.0,0,0,2,1,1,0,0,2,0,1,0.03,0.15611999999999998
code:fastapi/security/oauth2.py:__call__:378,__call__,0.3453,0.6547,9,3.0,0,0,2,1,1,0,0,2,0,1,0.03,0.15611999999999998
code:fastapi/openapi/utils.py:get_openapi_security_definitions:76,get_openapi_security_definitions,0.3432,0.6568,14,2.0,1,1,2,0,5,0,0,4,0,1,0.03,0.15528
code:fastapi/utils.py:create_cloned_field:108,create_cloned_field,0.3879,0.6121,52,10.0,1,1,12,1,27,0,0,6,0,1,0.0,0.15516000000000002
code:fastapi/security/oauth2.py:OAuth2PasswordBearer:390,OAuth2PasswordBearer,0.3875,0.6125,101,5.0,1,7,14,1,4,0,0,10,0,1,0.0,0.15500000000000003
code:fastapi/security/http.py:HTTPDigest:323,HTTPDigest,0.3798,0.6202,82,8.0,1,1,9,2,5,0,0,6,0,1,0.005,0.15492000000000003
code:fastapi/security/http.py:HTTPBasic:96,HTTPBasic,0.3867,0.6133,102,9.0,1,1,13,1,11,0,0,7,0,1,0.0,0.15468
code:fastapi/openapi/docs.py:get_swagger_ui_html:25,get_swagger_ui_html,0.3863,0.6137,120,5.0,1,0,16,0,7,0,519,17,0,1,0.0,0.15452
code:fastapi/openapi/models.py:ServerVariable:89,ServerVariable,0.3843,0.6157,3,1.0,0,0,1,0,0,0,0,2,1,1,0.0,0.15372
code:fastapi/openapi/models.py:RequestBody:282,RequestBody,0.3842,0.6158,3,1.0,0,0,0,0,0,0,0,2,1,1,0.0,0.15368
code:fastapi/openapi/models.py:Server:95,Server,0.3842,0.6158,3,1.0,0,0,0,0,0,0,0,2,1,1,0.0,0.15368
code:fastapi/openapi/models.py:Tag:428,Tag,0.3842,0.6158,3,1.0,0,0,0,0,0,0,0,2,1,1,0.0,0.15368
code:fastapi/openapi/models.py:License:73,License,0.3842,0.6158,3,1.0,0,0,0,0,0,0,0,2,1,1,0.0,0.15368
code:fastapi/openapi/utils.py:get_fields_from_routes:444,get_fields_from_routes,0.3766,0.6234,27,8.0,1,1,12,0,2,0,0,4,0,1,0.005,0.15364
code:fastapi/encoders.py:decimal_encoder:36,decimal_encoder,0.3302,0.6698,16,0.0,0,0,0,0,0,0,0,2,0,1,0.035,0.15308
code:fastapi/exceptions.py:errors:152,errors,0.2301,0.7699,1,0.0,0,0,0,0,0,0,0,0,1,1,0.1,0.15204
