id,label,importance,triviality,loc,complexity,num_funcs,num_params,num_calls,num_returns,num_assigns,num_imports,doc_len,keyword_matches,one_liner,has_type_annotations
code:fastapi/security/api_key.py:__init__:234,__init__,0.4963,0.5037,44,2.0,1,1,5,0,1,0,0,4,0,1
code:fastapi/applications.py:websocket_route:4537,websocket_route,0.4961,0.5039,6,1.0,2,3,1,1,0,0,0,2,0,1
code:fastapi/openapi/models.py:_validate:36,_validate,0.4961,0.5039,6,1.0,1,3,1,0,0,0,0,2,0,1
code:fastapi/routing.py:websocket_route:1188,websocket_route,0.4961,0.5039,6,1.0,2,3,1,1,0,0,0,2,0,1
code:fastapi/security/http.py:__init__:251,__init__,0.4955,0.5045,42,2.0,1,1,5,0,2,0,0,5,0,1
code:fastapi/openapi/utils.py:get_openapi_path:252,get_openapi_path,0.4949,0.5051,189,33.0,1,0,57,0,39,0,0,49,0,1
code:fastapi/routing.py:websocket_session:129,websocket_session,0.4949,0.5051,18,1.0,1,1,5,0,2,0,67,0,0,1
code:fastapi/routing.py:delete:2582,delete,0.4938,0.5062,328,0.0,0,0,0,0,0,0,0,25,0,1
code:fastapi/routing.py:options:2959,options,0.4938,0.5062,328,0.0,0,0,0,0,0,0,0,25,0,1
code:fastapi/applications.py:delete:2667,delete,0.4935,0.5065,325,0.0,0,0,0,0,0,0,0,25,0,1
code:fastapi/applications.py:head:3413,head,0.4935,0.5065,325,0.0,0,0,0,0,0,0,0,25,0,1
code:fastapi/applications.py:options:3040,options,0.4935,0.5065,325,0.0,0,0,0,0,0,0,0,25,0,1
code:fastapi/applications.py:trace:4164,trace,0.4935,0.5065,325,0.0,0,0,0,0,0,0,0,25,0,1
code:fastapi/routing.py:patch:3718,patch,0.4935,0.5065,332,0.0,0,0,0,0,0,0,0,26,0,1
code:fastapi/routing.py:post:2200,post,0.4935,0.5065,332,0.0,0,0,0,0,0,0,0,26,0,1
code:fastapi/exceptions.py:__init__:157,__init__,0.4934,0.5066,3,1.0,1,2,2,0,0,0,0,0,1,1
code:fastapi/exceptions.py:__init__:167,__init__,0.4934,0.5066,3,1.0,1,2,2,0,0,0,0,0,1,1
code:fastapi/security/http.py:__init__:69,__init__,0.4934,0.5066,11,2.0,1,1,1,0,2,0,0,3,0,1
code:fastapi/applications.py:patch:3786,patch,0.4933,0.5067,329,0.0,0,0,0,0,0,0,0,26,0,1
code:fastapi/applications.py:post:2289,post,0.4933,0.5067,329,0.0,0,0,0,0,0,0,0,26,0,1
code:fastapi/params.py:__init__:764,__init__,0.4933,0.5067,5,1.0,1,2,0,0,1,0,0,0,0,1
code:fastapi/params.py:__init__:777,__init__,0.4933,0.5067,9,1.0,1,2,2,0,0,0,0,1,0,1
code:fastapi/routing.py:app:99,app,0.4929,0.5071,21,2.0,0,0,5,0,5,0,0,0,0,1
code:fastapi/routing.py:head:3336,head,0.4929,0.5071,332,0.0,0,0,0,0,0,0,0,27,0,1
code:fastapi/routing.py:put:1818,put,0.4929,0.5071,332,0.0,0,0,0,0,0,0,0,27,0,1
code:fastapi/routing.py:trace:4100,trace,0.4929,0.5071,332,0.0,0,0,0,0,0,0,0,27,0,1
code:fastapi/applications.py:put:1911,put,0.4927,0.5073,329,0.0,0,0,0,0,0,0,0,27,0,1
code:fastapi/openapi/models.py:validate:28,validate,0.4923,0.5077,6,1.0,1,2,1,0,0,0,0,2,0,1
code:fastapi/routing.py:include_router:1197,include_router,0.4923,0.5077,222,0.0,0,0,0,0,0,0,0,12,0,1
code:fastapi/routing.py:get:1441,get,0.492,0.508,328,0.0,0,0,0,0,0,0,0,28,0,1
code:fastapi/applications.py:get:1538,get,0.4917,0.5083,325,0.0,0,0,0,0,0,0,0,28,0,1
code:fastapi/routing.py:api_route:1038,api_route,0.4908,0.5092,59,1.0,2,2,4,1,0,0,0,13,0,1
code:fastapi/applications.py:api_route:1193,api_route,0.4906,0.5094,57,1.0,2,2,4,1,0,0,0,13,0,1
code:fastapi/applications.py:decorator:1322,decorator,0.4897,0.5103,7,1.0,1,1,1,0,0,0,0,0,0,1
code:fastapi/routing.py:decorator:1180,decorator,0.4895,0.5105,4,1.0,1,1,1,0,0,0,0,0,0,1
code:fastapi/applications.py:include_router:1333,include_router,0.4889,0.5111,163,0.0,0,0,0,0,0,0,0,9,0,1
code:fastapi/security/oauth2.py:__init__:60,__init__,0.4881,0.5119,84,1.0,1,1,13,0,5,0,0,17,0,1
code:fastapi/routing.py:app:137,app,0.4864,0.5136,9,1.0,0,0,3,0,2,0,0,0,0,1
code:fastapi/openapi/models.py:APIKey:354,APIKey,0.4857,0.5143,3,1.0,0,0,2,0,0,0,0,0,1,1
code:fastapi/routing.py:app:140,app,0.4857,0.5143,5,1.0,0,0,1,0,1,0,0,0,0,1
code:fastapi/openapi/models.py:OpenIdConnect:404,OpenIdConnect,0.4856,0.5144,4,1.0,0,0,1,0,0,0,0,0,0,1
code:fastapi/openapi/models.py:OAuthFlows:392,OAuthFlows,0.4855,0.5145,4,1.0,0,0,0,0,0,0,0,0,0,1
code:fastapi/openapi/models.py:ParameterInType:236,ParameterInType,0.4855,0.5145,4,1.0,0,0,0,0,3,0,0,0,0,1
code:fastapi/openapi/models.py:SecuritySchemeType:336,SecuritySchemeType,0.4855,0.5145,4,1.0,0,0,0,0,3,0,0,0,0,1
code:fastapi/openapi/models.py:MediaType:251,MediaType,0.485,0.515,4,1.0,0,0,1,0,0,0,0,1,0,1
code:fastapi/openapi/models.py:ParameterBase:258,ParameterBase,0.4845,0.5155,12,1.0,0,0,1,0,0,0,0,3,0,1
code:fastapi/openapi/models.py:PathItem:320,PathItem,0.484,0.516,13,1.0,0,0,1,0,0,0,0,4,0,1
code:fastapi/openapi/models.py:Encoding:243,Encoding,0.4838,0.5162,5,1.0,0,0,0,0,0,0,0,3,0,1
code:fastapi/openapi/models.py:XML:110,XML,0.4838,0.5162,5,1.0,0,0,0,0,0,0,0,3,0,1
code:fastapi/openapi/models.py:Response:297,Response,0.4837,0.5163,4,1.0,0,0,0,0,0,0,0,3,0,1
code:fastapi/openapi/models.py:Info:79,Info,0.4833,0.5167,7,1.0,0,0,0,0,0,0,0,4,0,1
code:fastapi/routing.py:serialize_response:218,serialize_response,0.4831,0.5169,56,0.0,0,0,0,0,0,0,0,3,0,1
code:fastapi/security/oauth2.py:__init__:399,__init__,0.4829,0.5171,81,0.0,0,0,0,0,0,0,0,7,0,1
code:fastapi/routing.py:decorator:1068,decorator,0.4826,0.5174,29,0.0,0,0,0,0,0,0,0,0,0,1
code:fastapi/applications.py:decorator:1222,decorator,0.4825,0.5175,28,0.0,0,0,0,0,0,0,0,0,0,1
code:fastapi/security/oauth2.py:__init__:508,__init__,0.4824,0.5176,82,0.0,0,0,0,0,0,0,0,8,0,1
code:fastapi/openapi/models.py:Link:288,Link,0.482,0.518,6,1.0,0,0,0,0,0,0,0,6,0,1
code:fastapi/openapi/models.py:OpenAPI:434,OpenAPI,0.4819,0.5181,11,1.0,0,0,0,0,0,0,0,7,0,1
code:fastapi/exceptions.py:__init__:109,__init__,0.4815,0.5185,24,0.0,0,0,0,0,0,0,0,1,0,1
code:fastapi/routing.py:app:102,app,0.4815,0.5185,17,0.0,0,0,0,0,0,0,0,0,0,1
code:fastapi/routing.py:app:441,app,0.481,0.519,18,0.0,0,0,0,0,0,0,0,1,0,1
code:fastapi/openapi/models.py:Operation:304,Operation,0.4808,0.5192,13,1.0,0,0,0,0,0,0,0,9,0,1
code:fastapi/routing.py:decorator:944,decorator,0.4808,0.5192,9,0.0,0,0,0,0,0,0,0,0,0,1
code:fastapi/exceptions.py:__init__:36,__init__,0.4807,0.5193,28,0.0,0,0,0,0,0,0,0,3,0,1
code:fastapi/openapi/models.py:BaseModelWithConfig:57,BaseModelWithConfig,0.4804,0.5196,5,0.0,0,0,0,0,0,0,0,0,0,1
code:fastapi/openapi/models.py:__get_pydantic_core_schema__:50,__get_pydantic_core_schema__,0.4804,0.5196,4,0.0,0,0,0,0,0,0,0,0,0,1
code:fastapi/routing.py:merged_lifespan:204,merged_lifespan,0.4803,0.5197,10,0.0,0,0,0,0,0,0,0,1,0,1
code:fastapi/openapi/models.py:Components:414,Components,0.4801,0.5199,11,1.0,0,0,0,0,0,0,0,10,0,1
code:fastapi/routing.py:get_route_handler:646,get_route_handler,0.4801,0.5199,15,0.0,0,0,0,0,0,0,0,2,0,1
code:fastapi/security/oauth2.py:__init__:625,__init__,0.48,0.52,27,0.0,0,0,0,0,0,0,0,4,0,1
code:fastapi/applications.py:add_api_websocket_route:1253,add_api_websocket_route,0.4799,0.5201,13,0.0,0,0,0,0,0,0,0,2,0,1
code:fastapi/applications.py:swagger_ui_html:1092,swagger_ui_html,0.4798,0.5202,12,0.0,0,0,0,0,0,0,0,2,0,1
code:fastapi/openapi/models.py:Example:221,Example,0.4796,0.5204,9,0.0,0,0,0,0,0,0,0,2,0,1
code:fastapi/security/oauth2.py:__init__:215,__init__,0.4796,0.5204,85,0.0,0,0,0,0,0,0,0,13,0,1
code:fastapi/applications.py:redoc_html:1120,redoc_html,0.4792,0.5208,5,0.0,0,0,0,0,0,0,0,2,0,1
code:fastapi/openapi/models.py:__get_pydantic_json_schema__:44,__get_pydantic_json_schema__,0.4791,0.5209,4,0.0,0,0,0,0,0,0,0,2,0,1
code:fastapi/routing.py:__init__:464,__init__,0.4785,0.5215,31,0.0,0,0,0,0,0,0,0,7,0,1
code:fastapi/routing.py:run_endpoint_function:279,run_endpoint_function,0.4784,0.5216,9,0.0,0,0,0,0,0,0,0,4,0,1
code:fastapi/applications.py:add_api_route:1134,add_api_route,0.4772,0.5228,57,0.0,0,0,0,0,0,0,0,13,0,1
code:fastapi/openapi/models.py:EmailStr:23,EmailStr,0.4757,0.5243,27,0.0,0,0,0,0,0,0,0,11,0,1
code:fastapi/params.py:__init__:141,__init__,0.4756,0.5244,80,0.0,0,0,0,0,0,0,0,19,0,1
code:fastapi/params.py:__init__:311,__init__,0.4756,0.5244,80,0.0,0,0,0,0,0,0,0,19,0,1
code:fastapi/params.py:__init__:227,__init__,0.4754,0.5246,78,0.0,0,0,0,0,0,0,0,19,0,1
code:fastapi/params.py:__init__:397,__init__,0.4754,0.5246,78,0.0,0,0,0,0,0,0,0,19,0,1
code:fastapi/params.py:__init__:596,__init__,0.4751,0.5249,81,0.0,0,0,0,0,0,0,0,20,0,1
code:fastapi/params.py:__init__:680,__init__,0.4751,0.5249,81,0.0,0,0,0,0,0,0,0,20,0,1
code:fastapi/openapi/utils.py:get_openapi:475,get_openapi,0.4635,0.5365,95,28.0,1,0,22,0,20,0,0,36,0,1
code:fastapi/openapi/models.py:Schema:129,Schema,0.459,0.541,84,0.0,0,0,0,0,0,0,0,47,0,1
code:fastapi/openapi/utils.py:_get_openapi_operation_parameters:93,_get_openapi_operation_parameters,0.3978,0.6022,71,13.0,1,0,18,0,22,0,0,13,0,1
code:fastapi/param_functions.py:Security:2279,Security,0.3922,0.6078,66,1.0,1,1,3,0,0,0,928,5,0,1
code:fastapi/security/oauth2.py:OAuth2AuthorizationCodeBearer:502,OAuth2AuthorizationCodeBearer,0.3907,0.6093,100,5.0,1,8,14,1,4,0,0,11,0,1
code:fastapi/applications.py:__call__:1129,__call__,0.3905,0.6095,3,2.0,0,0,0,0,1,0,0,0,1,1
code:fastapi/applications.py:decorator:4615,decorator,0.3893,0.6107,2,1.0,1,1,1,0,0,0,0,0,1,1
code:fastapi/applications.py:decorator:4662,decorator,0.3893,0.6107,2,1.0,1,1,1,0,0,0,0,0,1,1
code:fastapi/routing.py:decorator:4510,decorator,0.3893,0.6107,2,1.0,1,1,1,0,0,0,0,0,1,1
code:fastapi/utils.py:create_cloned_field:108,create_cloned_field,0.3879,0.6121,52,10.0,1,1,12,1,27,0,0,6,0,1
code:fastapi/security/oauth2.py:OAuth2PasswordBearer:390,OAuth2PasswordBearer,0.3875,0.6125,101,5.0,1,7,14,1,4,0,0,10,0,1
code:fastapi/security/http.py:HTTPBasic:96,HTTPBasic,0.3867,0.6133,102,9.0,1,1,13,1,11,0,0,7,0,1
code:fastapi/openapi/docs.py:get_swagger_ui_html:25,get_swagger_ui_html,0.3863,0.6137,120,5.0,1,0,16,0,7,0,519,17,0,1
code:fastapi/openapi/models.py:HTTPBase:360,HTTPBase,0.3855,0.6145,2,1.0,0,0,1,0,0,0,0,0,1,1
code:fastapi/openapi/models.py:OAuth2:399,OAuth2,0.3855,0.6145,2,1.0,0,0,1,0,0,0,0,0,1,1
code:fastapi/openapi/models.py:SecurityBase:343,SecurityBase,0.3855,0.6145,2,1.0,0,0,1,0,0,0,0,0,1,1
code:fastapi/openapi/models.py:APIKeyIn:348,APIKeyIn,0.3854,0.6146,3,1.0,0,0,0,0,2,0,0,0,1,1
code:fastapi/openapi/models.py:HTTPBearer:365,HTTPBearer,0.3853,0.6147,2,1.0,0,0,0,0,0,0,0,0,1,1
code:fastapi/openapi/models.py:Contact:67,Contact,0.3848,0.6152,3,1.0,0,0,0,0,0,0,0,1,1,1
code:fastapi/openapi/models.py:Discriminator:105,Discriminator,0.3847,0.6153,2,1.0,0,0,0,0,0,0,0,1,1,1
code:fastapi/openapi/models.py:ExternalDocumentation:118,ExternalDocumentation,0.3847,0.6153,2,1.0,0,0,0,0,0,0,0,1,1,1
code:fastapi/openapi/models.py:OAuthFlow:370,OAuthFlow,0.3847,0.6153,2,1.0,0,0,0,0,0,0,0,1,1,1
code:fastapi/openapi/models.py:OAuthFlowAuthorizationCode:387,OAuthFlowAuthorizationCode,0.3847,0.6153,2,1.0,0,0,0,0,0,0,0,1,1,1
code:fastapi/openapi/models.py:Parameter:273,Parameter,0.3847,0.6153,2,1.0,0,0,0,0,0,0,0,1,1,1
code:fastapi/openapi/models.py:ServerVariable:89,ServerVariable,0.3843,0.6157,3,1.0,0,0,1,0,0,0,0,2,1,1
code:fastapi/openapi/models.py:License:73,License,0.3842,0.6158,3,1.0,0,0,0,0,0,0,0,2,1,1
code:fastapi/openapi/models.py:RequestBody:282,RequestBody,0.3842,0.6158,3,1.0,0,0,0,0,0,0,0,2,1,1
code:fastapi/openapi/models.py:Server:95,Server,0.3842,0.6158,3,1.0,0,0,0,0,0,0,0,2,1,1
code:fastapi/openapi/models.py:Tag:428,Tag,0.3842,0.6158,3,1.0,0,0,0,0,0,0,0,2,1,1
code:fastapi/applications.py:decorator:4540,decorator,0.3803,0.6197,3,0.0,0,0,0,0,0,0,0,0,1,1
code:fastapi/routing.py:decorator:1191,decorator,0.3803,0.6197,3,0.0,0,0,0,0,0,0,0,0,1,1
code:fastapi/exceptions.py:__init__:149,__init__,0.3802,0.6198,2,0.0,0,0,0,0,0,0,0,0,1,1
code:fastapi/applications.py:swagger_ui_redirect:1110,swagger_ui_redirect,0.3801,0.6199,1,0.0,0,0,0,0,0,0,0,0,1,1
code:fastapi/security/http.py:HTTPDigest:323,HTTPDigest,0.3798,0.6202,82,8.0,1,1,9,2,5,0,0,6,0,1
code:fastapi/openapi/models.py:__get_validators__:24,__get_validators__,0.3797,0.6203,3,0.0,0,0,0,0,0,0,0,1,1,1
code:fastapi/security/http.py:HTTPBearer:219,HTTPBearer,0.3789,0.6211,84,8.0,1,1,10,2,5,0,0,8,0,1
code:fastapi/openapi/utils.py:get_fields_from_routes:444,get_fields_from_routes,0.3766,0.6234,27,8.0,1,1,12,0,2,0,0,4,0,1
code:fastapi/param_functions.py:Depends:2219,Depends,0.3749,0.6251,44,1.0,1,1,2,0,0,0,622,3,0,1
code:fastapi/security/http.py:__call__:186,__call__,0.3737,0.6263,30,8.0,0,0,8,1,7,0,0,2,0,1
code:fastapi/security/http.py:__call__:300,__call__,0.3672,0.6328,20,7.0,0,0,5,2,2,0,0,2,0,1
code:fastapi/security/http.py:__call__:402,__call__,0.3672,0.6328,20,7.0,0,0,5,2,2,0,0,2,0,1
code:fastapi/openapi/docs.py:get_redoc_html:160,get_redoc_html,0.3667,0.6333,88,2.0,1,0,5,0,3,0,411,7,0,1
code:fastapi/security/http.py:HTTPBase:68,HTTPBase,0.3643,0.6357,24,6.0,1,1,4,1,5,0,0,5,0,1
code:fastapi/openapi/utils.py:get_openapi_operation_metadata:226,get_openapi_operation_metadata,0.3638,0.6362,23,7.0,1,0,5,0,9,0,0,8,0,1
code:fastapi/utils.py:get_value_or_default:205,get_value_or_default,0.3605,0.6395,13,3.0,1,1,1,1,1,0,197,1,0,1
code:fastapi/security/oauth2.py:OAuth2:307,OAuth2,0.3577,0.6423,71,4.0,1,1,9,1,4,0,0,7,0,1
code:fastapi/security/open_id_connect_url.py:OpenIdConnect:10,OpenIdConnect,0.3576,0.6424,66,4.0,1,1,7,1,4,0,0,6,0,1
code:fastapi/security/http.py:__call__:81,__call__,0.3559,0.6441,12,5.0,0,0,3,1,2,0,0,2,0,1
code:fastapi/openapi/utils.py:get_openapi_operation_request_body:168,get_openapi_operation_request_body,0.3546,0.6454,34,5.0,1,0,5,1,8,0,0,8,0,1
code:fastapi/security/api_key.py:APIKeyBase:10,APIKeyBase,0.3528,0.6472,9,3.0,1,2,1,1,0,0,0,2,0,1
code:fastapi/security/api_key.py:check_api_key:11,check_api_key,0.3528,0.6472,9,3.0,1,2,1,1,0,0,0,2,0,1
code:fastapi/security/oauth2.py:__call__:487,__call__,0.3504,0.6496,12,4.0,0,0,4,1,2,0,0,3,0,1
code:fastapi/security/oauth2.py:__call__:597,__call__,0.3504,0.6496,12,4.0,0,0,4,1,2,0,0,3,0,1
code:fastapi/utils.py:is_body_allowed_for_status_code:41,is_body_allowed_for_status_code,0.3494,0.6506,14,3.0,1,1,1,2,1,0,0,2,0,1
code:fastapi/exceptions.py:ResponseValidationError:166,ResponseValidationError,0.3479,0.6521,8,2.0,2,2,3,0,3,0,0,2,0,1
code:fastapi/params.py:Depends:763,Depends,0.3478,0.6522,9,2.0,2,2,2,0,4,0,0,2,0,1
code:fastapi/middleware/asyncexitstack.py:AsyncExitStackMiddleware:7,AsyncExitStackMiddleware,0.3471,0.6529,10,1.0,1,3,1,0,3,0,0,1,0,1
code:fastapi/security/api_key.py:APIKeyQuery:22,APIKeyQuery,0.3459,0.6541,72,2.0,1,1,6,0,3,0,0,9,0,1
code:fastapi/security/api_key.py:APIKeyHeader:114,APIKeyHeader,0.3456,0.6544,68,2.0,1,1,6,0,3,0,0,9,0,1
code:fastapi/security/oauth2.py:__call__:378,__call__,0.3453,0.6547,9,3.0,0,0,2,1,1,0,0,2,0,1
code:fastapi/security/open_id_connect_url.py:__call__:74,__call__,0.3453,0.6547,9,3.0,0,0,2,1,1,0,0,2,0,1
code:fastapi/encoders.py:generate_encoders_by_class_tuples:87,generate_encoders_by_class_tuples,0.3451,0.6549,8,2.0,1,1,2,0,1,0,0,0,0,1
code:fastapi/security/api_key.py:APIKeyCookie:202,APIKeyCookie,0.345,0.655,68,2.0,1,1,6,0,3,0,0,10,0,1
code:fastapi/params.py:__repr__:770,__repr__,0.3435,0.6565,3,2.0,1,1,2,0,2,0,0,2,1,1
code:fastapi/exceptions.py:RequestValidationError:156,RequestValidationError,0.3434,0.6566,3,1.0,1,2,2,0,0,0,0,0,1,1
code:fastapi/exceptions.py:__str__:171,__str__,0.3434,0.6566,4,2.0,1,1,1,0,2,0,0,2,0,1
code:fastapi/params.py:Security:776,Security,0.3433,0.6567,9,1.0,1,2,2,0,0,0,0,1,0,1
code:fastapi/openapi/utils.py:get_openapi_security_definitions:76,get_openapi_security_definitions,0.3432,0.6568,14,2.0,1,1,2,0,5,0,0,4,0,1
code:fastapi/openapi/docs.py:get_swagger_ui_oauth2_redirect_html:255,get_swagger_ui_oauth2_redirect_html,0.3431,0.6569,80,1.0,1,0,0,0,1,0,118,9,0,1
code:fastapi/security/utils.py:get_authorization_scheme_param:3,get_authorization_scheme_param,0.3424,0.6576,6,2.0,1,1,1,1,1,0,0,4,0,1
code:fastapi/responses.py:UJSONResponse:22,UJSONResponse,0.3411,0.6589,8,1.0,1,2,0,0,0,0,0,4,0,1
code:fastapi/utils.py:generate_unique_id:179,generate_unique_id,0.3393,0.6607,5,1.0,1,1,3,0,3,0,0,1,0,1
code:fastapi/security/oauth2.py:OAuth2PasswordRequestForm:15,OAuth2PasswordRequestForm,0.3392,0.6608,118,1.0,1,1,13,0,5,0,0,20,0,1
code:fastapi/openapi/utils.py:generate_operation_id:205,generate_operation_id,0.339,0.661,12,2.0,1,0,1,1,0,0,0,4,0,1
code:fastapi/params.py:ParamTypes:17,ParamTypes,0.3355,0.6645,4,1.0,0,0,0,0,3,0,0,0,0,1
code:fastapi/security/http.py:HTTPBasicCredentials:15,HTTPBasicCredentials,0.3354,0.6646,8,1.0,0,0,1,0,0,0,0,1,0,1
code:fastapi/param_functions.py:Header:642,Header,0.3351,0.6649,305,0.0,0,0,0,0,0,0,0,36,0,1
code:fastapi/param_functions.py:File:1905,File,0.3344,0.6656,304,0.0,0,0,0,0,0,0,0,37,0,1
code:fastapi/param_functions.py:Form:1591,Form,0.3344,0.6656,304,0.0,0,0,0,0,0,0,0,37,0,1
code:fastapi/param_functions.py:Path:10,Path,0.3344,0.6656,311,0.0,0,0,0,0,0,0,0,38,0,1
code:fastapi/param_functions.py:Cookie:958,Cookie,0.3342,0.6658,294,0.0,0,0,0,0,0,0,0,36,0,1
code:fastapi/param_functions.py:Query:338,Query,0.3342,0.6658,294,0.0,0,0,0,0,0,0,0,36,0,1
code:fastapi/param_functions.py:Body:1262,Body,0.3338,0.6662,317,0.0,0,0,0,0,0,0,0,40,0,1
code:fastapi/utils.py:generate_operation_id_for_path:164,generate_operation_id_for_path,0.3336,0.6664,12,1.0,1,0,3,0,3,0,0,5,0,1
code:fastapi/exceptions.py:WebSocketException:67,WebSocketException,0.3333,0.6667,58,0.0,0,0,0,0,0,0,0,3,0,1
code:fastapi/utils.py:create_model_field:62,create_model_field,0.332,0.668,43,0.0,0,0,0,0,0,0,0,3,0,1
code:fastapi/security/http.py:HTTPAuthorizationCredentials:28,HTTPAuthorizationCredentials,0.3314,0.6686,30,0.0,0,0,0,0,0,0,0,2,0,1
code:fastapi/utils.py:deep_dict_update:187,deep_dict_update,0.3313,0.6687,15,0.0,0,0,0,0,0,0,0,0,0,1
code:fastapi/exceptions.py:HTTPException:8,HTTPException,0.3311,0.6689,47,0.0,0,0,0,0,0,0,0,5,0,1
code:fastapi/security/oauth2.py:SecurityScopes:612,SecurityScopes,0.3308,0.6692,37,0.0,0,0,0,0,0,0,0,4,0,1
code:fastapi/exceptions.py:ValidationException:148,ValidationException,0.3304,0.6696,4,0.0,0,0,0,0,0,0,0,0,0,1
code:fastapi/responses.py:render:43,render,0.3304,0.6696,4,0.0,0,0,0,0,0,0,0,0,0,1
code:fastapi/encoders.py:jsonable_encoder:101,jsonable_encoder,0.3303,0.6697,236,0.0,0,0,0,0,0,0,0,34,0,1
code:fastapi/encoders.py:decimal_encoder:36,decimal_encoder,0.3302,0.6698,16,0.0,0,0,0,0,0,0,0,2,0,1
code:fastapi/exception_handlers.py:websocket_request_validation_exception_handler:28,websocket_request_validation_exception_handler,0.3298,0.6702,5,0.0,0,0,0,0,0,0,0,1,0,1
